HDR,ROLLING SYSTEM DEMAND
VD,20191010150500,33315
VD,20191010151000,33629
VD,20191010151500,33752
VD,20191010152000,33913
VD,20191010152500,34110
VD,20191010153000,34302
VD,20191010153500,34212
VD,20191010154000,34373
VD,20191010154500,34581
VD,20191010155000,34752
VD,20191010155500,34898
VD,20191010160000,35001
VD,20191010160500,35243
VD,20191010161000,35271
VD,20191010161500,35336
VD,20191010162000,35569
VD,20191010162500,35738
VD,20191010163000,35855
VD,20191010163500,35807
VD,20191010164000,35815
VD,20191010164500,35827
VD,20191010165000,35877
VD,20191010165500,35907
VD,20191010170000,36031
VD,20191010170500,36071
VD,20191010171000,36123
VD,20191010171500,36286
VD,20191010172000,36459
VD,20191010172500,36566
VD,20191010173000,36612
VD,20191010173500,36709
VD,20191010174000,36815
VD,20191010174500,36866
VD,20191010175000,36959
VD,20191010175500,36970
VD,20191010180000,37005
VD,20191010180500,37026
VD,20191010181000,37012
VD,20191010181500,36802
VD,20191010182000,36638
VD,20191010182500,36319
VD,20191010183000,36056
VD,20191010183500,35836
VD,20191010184000,35804
VD,20191010184500,35625
VD,20191010185000,35309
VD,20191010185500,34926
VD,20191010190000,34658
VD,20191010190500,34337
VD,20191010191000,34160
VD,20191010191500,33962
VD,20191010192000,33773
VD,20191010192500,33568
VD,20191010193000,33453
VD,20191010193500,33253
VD,20191010194000,32971
VD,20191010194500,32663
VD,20191010195000,32359
VD,20191010195500,32154
VD,20191010200000,31747
VD,20191010200500,31439
VD,20191010201000,31330
VD,20191010201500,30946
VD,20191010202000,30641
VD,20191010202500,30230
VD,20191010203000,29929
VD,20191010203500,29692
VD,20191010204000,29497
VD,20191010204500,29147
VD,20191010205000,28953
VD,20191010205500,28589
VD,20191010210000,28475
VD,20191010210500,28703
VD,20191010211000,28790
VD,20191010211500,28597
VD,20191010212000,28313
VD,20191010212500,28142
VD,20191010213000,28001
VD,20191010213500,27705
VD,20191010214000,27373
VD,20191010214500,26980
VD,20191010215000,26560
VD,20191010215500,26197
VD,20191010220000,25697
VD,20191010220500,25294
VD,20191010221000,25123
VD,20191010221500,24938
VD,20191010222000,24668
VD,20191010222500,24386
VD,20191010223000,24150
VD,20191010223500,24024
VD,20191010224000,23950
VD,20191010224500,23931
VD,20191010225000,23887
VD,20191010225500,23829
VD,20191010230000,23563
VD,20191010230500,23384
VD,20191010231000,23218
VD,20191010231500,23081
VD,20191010232000,22951
VD,20191010232500,22872
VD,20191010233000,22839
VD,20191010233500,22882
VD,20191010234000,22802
VD,20191010234500,22747
VD,20191010235000,22761
VD,20191010235500,22715
FTR,1152
